row,cfu,_1,to1,bw_up,olt1
1.U1,RETAIL,1,CGW2*.BTC,0.012,OLT00**ABT*3
1.U2,RETAIL,2,CGW*.BDS,0.012,OLT00**ABT*3
1.U3,RETAIL,3,CGW*.MDO,0.012,OLT00**ABT*3
1.U4,RETAIL,4,CGW*.PNK,0.012,OLT00**ABT*3
1.U5,RETAIL,5,TEL#_CGW2*.BDS,0.012,OLT00**ABT*3
1.U6,RETAIL,6,TEL#_CGW2**BDS,0.012,OLT00**ABT*3
1.U7,RETAIL,7,TEL#_CGW*.BDS,0.012,OLT00**ABT*3
1.U8,RETAIL,8,CGW2*.BTC,0.012,OLT00**ABT*3
1.U9,RETAIL,9,CGW*.BDS,0.012,OLT00**ABT*3
1.U10,RETAIL,10,CGW2*.BTC,0.012,OLT00**ABT*3
1.U11,RETAIL,11,CGW*.BDS,0.012,OLT00**ABT*3
1.U12,RETAIL,12,CGW2*.BTC,0.012,OLT00**ABT*3
1.U13,RETAIL,13,CGW*.BDS,0.012,OLT00**ABT*3
1.U14,RETAIL,14,CGW*.MDO,0.012,OLT00**ABT*3
1.U15,RETAIL,15,CGW*.PNK,0.012,OLT00**ABT*3
1.U16,RETAIL,16,TEL#_CGW2*.BDS,0.012,OLT00**ABT*3
1.U17,RETAIL,17,TEL#_CGW2**BDS,0.012,OLT00**ABT*3
1.U18,RETAIL,18,TEL#_CGW*.BDS,0.012,OLT00**ABT*3
1.U19,RETAIL,19,CGW2*.BTC,0.012,OLT00**ABT*3
1.U20,RETAIL,20,CGW*.BDS,0.012,OLT00**ABT*3
1.U21,RETAIL,21,CGW2*.BTC,0.012,OLT00**ABT*3
1.U22,RETAIL,22,CGW*.BDS,0.012,OLT00**ABT*3
1.U23,RETAIL,23,CGW2*.BTC,0.012,OLT00**ABT*3
1.U24,RETAIL,24,CGW*.BDS,0.012,OLT00**ABT*3
1.U25,RETAIL,25,CGW2*.BTC,0.012,OLT00**ABT*3
1.U26,RETAIL,26,CGW*.BDS,0.012,OLT00**ABT*3
1.U27,EBIS,27,CGW2*.BTC,0.023,OLT00**ABT*3
1.U28,EBIS,28,CGW*.BDS,0.023,OLT00**ABT*3
1.U29,WHOLESALE,29,CGW*.BDS,0.035,OLT00**ABT*3
1.U30,WHOLESALE,30,CGW*.MDO,0.035,OLT00**ABT*3
1.U31,MOBILE,31,CGW*.BDS,0.046999998,OLT00**ABT*3
1.U32,MOBILE,32,CGW*.MDO,0.046999998,OLT00**ABT*3
1.U33,RETAIL,33,CNGoogle,0.012,OLT00**ABT*3
1.U34,RETAIL,34,CNFacebook,0.012,OLT00**ABT*3
1.U35,RETAIL,35,CNNetflix,0.012,OLT00**ABT*3
1.U36,RETAIL,36,CNConversant,0.012,OLT00**ABT*3
1.U37,EBIS,37,CNGoogle,0.012,OLT00**ABT*3
1.U38,EBIS,38,CNFacebook,0.012,OLT00**ABT*3
1.U39,EBIS,39,CNNetflix,0.012,OLT00**ABT*3
1.U40,EBIS,40,CNConversant,0.012,OLT00**ABT*3
1.U41,WHOLESALE,41,CNGoogle,0.012,OLT00**ABT*3
1.U42,WHOLESALE,42,CNFacebook,0.012,OLT00**ABT*3
1.U43,WHOLESALE,43,CNNetflix,0.012,OLT00**ABT*3
1.U44,WHOLESALE,44,CNConversant,0.012,OLT00**ABT*3
1.U45,MOBILE,45,CNGoogle,0.023,OLT00**ABT*3
1.U46,MOBILE,46,CNFacebook,0.023,OLT00**ABT*3
1.U47,MOBILE,47,CNNetflix,0.023,OLT00**ABT*3
1.U48,MOBILE,48,CNConversant,0.023,OLT00**ABT*3
1.U49,RETAIL,49,CNIptv,0.016000001,OLT00**ABT*3
1.U50,EBIS,50,CNIptv,0.016000001,OLT00**ABT*3
2.U1,RETAIL,1,CGW2*.BTC,0.012,OLT00**ABU*2DSU
2.U2,RETAIL,2,CGW*.BDS,0.012,OLT00**ABU*2DSU
2.U3,RETAIL,3,CGW*.MDO,0.012,OLT00**ABU*2DSU
2.U4,RETAIL,4,CGW*.PNK,0.012,OLT00**ABU*2DSU
2.U5,RETAIL,5,TEL#_CGW2*.BDS,0.012,OLT00**ABU*2DSU
2.U6,RETAIL,6,TEL#_CGW2**BDS,0.012,OLT00**ABU*2DSU
2.U7,RETAIL,7,TEL#_CGW*.BDS,0.012,OLT00**ABU*2DSU
2.U8,RETAIL,8,CGW2*.BTC,0.012,OLT00**ABU*2DSU
2.U9,RETAIL,9,CGW*.BDS,0.012,OLT00**ABU*2DSU
2.U10,RETAIL,10,CGW2*.BTC,0.012,OLT00**ABU*2DSU
2.U11,RETAIL,11,CGW*.BDS,0.012,OLT00**ABU*2DSU
2.U12,RETAIL,12,CGW2*.BTC,0.012,OLT00**ABU*2DSU
2.U13,RETAIL,13,CGW*.BDS,0.012,OLT00**ABU*2DSU
2.U14,RETAIL,14,CGW*.MDO,0.012,OLT00**ABU*2DSU
2.U15,RETAIL,15,CGW*.PNK,0.012,OLT00**ABU*2DSU
2.U16,RETAIL,16,TEL#_CGW2*.BDS,0.012,OLT00**ABU*2DSU
2.U17,RETAIL,17,TEL#_CGW2**BDS,0.012,OLT00**ABU*2DSU
2.U18,RETAIL,18,TEL#_CGW*.BDS,0.012,OLT00**ABU*2DSU
2.U19,RETAIL,19,CGW2*.BTC,0.012,OLT00**ABU*2DSU
2.U20,RETAIL,20,CGW*.BDS,0.012,OLT00**ABU*2DSU
2.U21,RETAIL,21,CGW2*.BTC,0.012,OLT00**ABU*2DSU
2.U22,RETAIL,22,CGW*.BDS,0.012,OLT00**ABU*2DSU
2.U23,RETAIL,23,CGW2*.BTC,0.012,OLT00**ABU*2DSU
2.U24,RETAIL,24,CGW*.BDS,0.012,OLT00**ABU*2DSU
2.U25,RETAIL,25,CGW2*.BTC,0.012,OLT00**ABU*2DSU
2.U26,RETAIL,26,CGW*.BDS,0.012,OLT00**ABU*2DSU
2.U27,EBIS,27,CGW2*.BTC,0.023,OLT00**ABU*2DSU
2.U28,EBIS,28,CGW*.BDS,0.023,OLT00**ABU*2DSU
2.U29,WHOLESALE,29,CGW*.BDS,0.035,OLT00**ABU*2DSU
2.U30,WHOLESALE,30,CGW*.MDO,0.035,OLT00**ABU*2DSU
2.U31,MOBILE,31,CGW*.BDS,0.046,OLT00**ABU*2DSU
2.U32,MOBILE,32,CGW*.MDO,0.046,OLT00**ABU*2DSU
2.U33,RETAIL,33,CNGoogle,0.012,OLT00**ABU*2DSU
2.U34,RETAIL,34,CNFacebook,0.012,OLT00**ABU*2DSU
2.U35,RETAIL,35,CNNetflix,0.012,OLT00**ABU*2DSU
2.U36,RETAIL,36,CNConversant,0.012,OLT00**ABU*2DSU
2.U37,EBIS,37,CNGoogle,0.012,OLT00**ABU*2DSU
2.U38,EBIS,38,CNFacebook,0.012,OLT00**ABU*2DSU
2.U39,EBIS,39,CNNetflix,0.012,OLT00**ABU*2DSU
2.U40,EBIS,40,CNConversant,0.012,OLT00**ABU*2DSU
2.U41,WHOLESALE,41,CNGoogle,0.012,OLT00**ABU*2DSU
2.U42,WHOLESALE,42,CNFacebook,0.012,OLT00**ABU*2DSU
2.U43,WHOLESALE,43,CNNetflix,0.012,OLT00**ABU*2DSU
2.U44,WHOLESALE,44,CNConversant,0.012,OLT00**ABU*2DSU
2.U45,MOBILE,45,CNGoogle,0.023,OLT00**ABU*2DSU
2.U46,MOBILE,46,CNFacebook,0.023,OLT00**ABU*2DSU
2.U47,MOBILE,47,CNNetflix,0.023,OLT00**ABU*2DSU
2.U48,MOBILE,48,CNConversant,0.023,OLT00**ABU*2DSU
2.U49,RETAIL,49,CNIptv,0.015,OLT00**ABU*2DSU
2.U50,EBIS,50,CNIptv,0.015,OLT00**ABU*2DSU
3.U1,RETAIL,1,CGW2*.BTC,0.002,OLT00**DMO*2BKN
3.U2,RETAIL,2,CGW*.BDS,0.002,OLT00**DMO*2BKN
3.U3,RETAIL,3,CGW*.MDO,0.002,OLT00**DMO*2BKN
3.U4,RETAIL,4,CGW*.PNK,0.002,OLT00**DMO*2BKN
3.U5,RETAIL,5,TEL#_CGW2*.BDS,0.002,OLT00**DMO*2BKN
3.U6,RETAIL,6,TEL#_CGW2**BDS,0.002,OLT00**DMO*2BKN
3.U7,RETAIL,7,TEL#_CGW*.BDS,0.002,OLT00**DMO*2BKN
3.U8,RETAIL,8,CGW2*.BTC,0.002,OLT00**DMO*2BKN
3.U9,RETAIL,9,CGW*.BDS,0.002,OLT00**DMO*2BKN
3.U10,RETAIL,10,CGW2*.BTC,0.002,OLT00**DMO*2BKN
3.U11,RETAIL,11,CGW*.BDS,0.002,OLT00**DMO*2BKN
3.U12,RETAIL,12,CGW2*.BTC,0.002,OLT00**DMO*2BKN
3.U13,RETAIL,13,CGW*.BDS,0.002,OLT00**DMO*2BKN
3.U14,RETAIL,14,CGW*.MDO,0.002,OLT00**DMO*2BKN
3.U15,RETAIL,15,CGW*.PNK,0.002,OLT00**DMO*2BKN
3.U16,RETAIL,16,TEL#_CGW2*.BDS,0.002,OLT00**DMO*2BKN
3.U17,RETAIL,17,TEL#_CGW2**BDS,0.002,OLT00**DMO*2BKN
3.U18,RETAIL,18,TEL#_CGW*.BDS,0.002,OLT00**DMO*2BKN
3.U19,RETAIL,19,CGW2*.BTC,0.002,OLT00**DMO*2BKN
3.U20,RETAIL,20,CGW*.BDS,0.002,OLT00**DMO*2BKN
3.U21,RETAIL,21,CGW2*.BTC,0.002,OLT00**DMO*2BKN
3.U22,RETAIL,22,CGW*.BDS,0.002,OLT00**DMO*2BKN
3.U23,RETAIL,23,CGW2*.BTC,0.002,OLT00**DMO*2BKN
3.U24,RETAIL,24,CGW*.BDS,0.002,OLT00**DMO*2BKN
3.U25,RETAIL,25,CGW2*.BTC,0.002,OLT00**DMO*2BKN
3.U26,RETAIL,26,CGW*.BDS,0.002,OLT00**DMO*2BKN
3.U27,EBIS,27,CGW2*.BTC,0.003,OLT00**DMO*2BKN
3.U28,EBIS,28,CGW*.BDS,0.003,OLT00**DMO*2BKN
3.U29,WHOLESALE,29,CGW*.BDS,0.005,OLT00**DMO*2BKN
3.U30,WHOLESALE,30,CGW*.MDO,0.005,OLT00**DMO*2BKN
3.U31,MOBILE,31,CGW*.BDS,0.006,OLT00**DMO*2BKN
3.U32,MOBILE,32,CGW*.MDO,0.006,OLT00**DMO*2BKN
3.U33,RETAIL,33,CNGoogle,0.002,OLT00**DMO*2BKN
3.U34,RETAIL,34,CNFacebook,0.002,OLT00**DMO*2BKN
3.U35,RETAIL,35,CNNetflix,0.002,OLT00**DMO*2BKN
3.U36,RETAIL,36,CNConversant,0.002,OLT00**DMO*2BKN
3.U37,EBIS,37,CNGoogle,0.002,OLT00**DMO*2BKN
3.U38,EBIS,38,CNFacebook,0.002,OLT00**DMO*2BKN
3.U39,EBIS,39,CNNetflix,0.002,OLT00**DMO*2BKN
3.U40,EBIS,40,CNConversant,0.002,OLT00**DMO*2BKN
3.U41,WHOLESALE,41,CNGoogle,0.002,OLT00**DMO*2BKN
3.U42,WHOLESALE,42,CNFacebook,0.002,OLT00**DMO*2BKN
3.U43,WHOLESALE,43,CNNetflix,0.002,OLT00**DMO*2BKN
3.U44,WHOLESALE,44,CNConversant,0.002,OLT00**DMO*2BKN
3.U45,MOBILE,45,CNGoogle,0.003,OLT00**DMO*2BKN
3.U46,MOBILE,46,CNFacebook,0.003,OLT00**DMO*2BKN
3.U47,MOBILE,47,CNNetflix,0.003,OLT00**DMO*2BKN
3.U48,MOBILE,48,CNConversant,0.003,OLT00**DMO*2BKN
3.U49,RETAIL,49,CNIptv,0.002,OLT00**DMO*2BKN
3.U50,EBIS,50,CNIptv,0.002,OLT00**DMO*2BKN
4.U1,RETAIL,1,CGW2*.BTC,0.002,OLT00**DMO*3*CWS
4.U2,RETAIL,2,CGW*.BDS,0.002,OLT00**DMO*3*CWS
4.U3,RETAIL,3,CGW*.MDO,0.002,OLT00**DMO*3*CWS
4.U4,RETAIL,4,CGW*.PNK,0.002,OLT00**DMO*3*CWS
4.U5,RETAIL,5,TEL#_CGW2*.BDS,0.002,OLT00**DMO*3*CWS
4.U6,RETAIL,6,TEL#_CGW2**BDS,0.002,OLT00**DMO*3*CWS
4.U7,RETAIL,7,TEL#_CGW*.BDS,0.002,OLT00**DMO*3*CWS
4.U8,RETAIL,8,CGW2*.BTC,0.002,OLT00**DMO*3*CWS
4.U9,RETAIL,9,CGW*.BDS,0.002,OLT00**DMO*3*CWS
4.U10,RETAIL,10,CGW2*.BTC,0.002,OLT00**DMO*3*CWS
4.U11,RETAIL,11,CGW*.BDS,0.002,OLT00**DMO*3*CWS
4.U12,RETAIL,12,CGW2*.BTC,0.002,OLT00**DMO*3*CWS
4.U13,RETAIL,13,CGW*.BDS,0.002,OLT00**DMO*3*CWS
4.U14,RETAIL,14,CGW*.MDO,0.002,OLT00**DMO*3*CWS
4.U15,RETAIL,15,CGW*.PNK,0.002,OLT00**DMO*3*CWS
4.U16,RETAIL,16,TEL#_CGW2*.BDS,0.002,OLT00**DMO*3*CWS
4.U17,RETAIL,17,TEL#_CGW2**BDS,0.002,OLT00**DMO*3*CWS
4.U18,RETAIL,18,TEL#_CGW*.BDS,0.002,OLT00**DMO*3*CWS
4.U19,RETAIL,19,CGW2*.BTC,0.002,OLT00**DMO*3*CWS
4.U20,RETAIL,20,CGW*.BDS,0.002,OLT00**DMO*3*CWS
4.U21,RETAIL,21,CGW2*.BTC,0.002,OLT00**DMO*3*CWS
4.U22,RETAIL,22,CGW*.BDS,0.002,OLT00**DMO*3*CWS
4.U23,RETAIL,23,CGW2*.BTC,0.002,OLT00**DMO*3*CWS
4.U24,RETAIL,24,CGW*.BDS,0.002,OLT00**DMO*3*CWS
4.U25,RETAIL,25,CGW2*.BTC,0.002,OLT00**DMO*3*CWS
4.U26,RETAIL,26,CGW*.BDS,0.002,OLT00**DMO*3*CWS
4.U27,EBIS,27,CGW2*.BTC,0.003,OLT00**DMO*3*CWS
4.U28,EBIS,28,CGW*.BDS,0.003,OLT00**DMO*3*CWS
4.U29,WHOLESALE,29,CGW*.BDS,0.005,OLT00**DMO*3*CWS
4.U30,WHOLESALE,30,CGW*.MDO,0.005,OLT00**DMO*3*CWS
4.U31,MOBILE,31,CGW*.BDS,0.006,OLT00**DMO*3*CWS
4.U32,MOBILE,32,CGW*.MDO,0.006,OLT00**DMO*3*CWS
4.U33,RETAIL,33,CNGoogle,0.002,OLT00**DMO*3*CWS
4.U34,RETAIL,34,CNFacebook,0.002,OLT00**DMO*3*CWS
4.U35,RETAIL,35,CNNetflix,0.002,OLT00**DMO*3*CWS
4.U36,RETAIL,36,CNConversant,0.002,OLT00**DMO*3*CWS
4.U37,EBIS,37,CNGoogle,0.002,OLT00**DMO*3*CWS
4.U38,EBIS,38,CNFacebook,0.002,OLT00**DMO*3*CWS
4.U39,EBIS,39,CNNetflix,0.002,OLT00**DMO*3*CWS
4.U40,EBIS,40,CNConversant,0.002,OLT00**DMO*3*CWS
4.U41,WHOLESALE,41,CNGoogle,0.002,OLT00**DMO*3*CWS
4.U42,WHOLESALE,42,CNFacebook,0.002,OLT00**DMO*3*CWS
4.U43,WHOLESALE,43,CNNetflix,0.002,OLT00**DMO*3*CWS
4.U44,WHOLESALE,44,CNConversant,0.002,OLT00**DMO*3*CWS
4.U45,MOBILE,45,CNGoogle,0.003,OLT00**DMO*3*CWS
4.U46,MOBILE,46,CNFacebook,0.003,OLT00**DMO*3*CWS
4.U47,MOBILE,47,CNNetflix,0.003,OLT00**DMO*3*CWS
4.U48,MOBILE,48,CNConversant,0.003,OLT00**DMO*3*CWS
4.U49,RETAIL,49,CNIptv,0.002,OLT00**DMO*3*CWS
4.U50,EBIS,50,CNIptv,0.002,OLT00**DMO*3*CWS
5.U1,RETAIL,1,CGW2*.BTC,0.001,OLT00**DMO*3TDR
5.U2,RETAIL,2,CGW*.BDS,0.001,OLT00**DMO*3TDR
5.U3,RETAIL,3,CGW*.MDO,0.001,OLT00**DMO*3TDR
5.U4,RETAIL,4,CGW*.PNK,0.001,OLT00**DMO*3TDR
5.U5,RETAIL,5,TEL#_CGW2*.BDS,0.001,OLT00**DMO*3TDR
5.U6,RETAIL,6,TEL#_CGW2**BDS,0.001,OLT00**DMO*3TDR
5.U7,RETAIL,7,TEL#_CGW*.BDS,0.001,OLT00**DMO*3TDR
5.U8,RETAIL,8,CGW2*.BTC,0.001,OLT00**DMO*3TDR
5.U9,RETAIL,9,CGW*.BDS,0.001,OLT00**DMO*3TDR
5.U10,RETAIL,10,CGW2*.BTC,0.001,OLT00**DMO*3TDR
5.U11,RETAIL,11,CGW*.BDS,0.001,OLT00**DMO*3TDR
5.U12,RETAIL,12,CGW2*.BTC,0.001,OLT00**DMO*3TDR
5.U13,RETAIL,13,CGW*.BDS,0.001,OLT00**DMO*3TDR
5.U14,RETAIL,14,CGW*.MDO,0.001,OLT00**DMO*3TDR
5.U15,RETAIL,15,CGW*.PNK,0.001,OLT00**DMO*3TDR
5.U16,RETAIL,16,TEL#_CGW2*.BDS,0.001,OLT00**DMO*3TDR
5.U17,RETAIL,17,TEL#_CGW2**BDS,0.001,OLT00**DMO*3TDR
5.U18,RETAIL,18,TEL#_CGW*.BDS,0.001,OLT00**DMO*3TDR
5.U19,RETAIL,19,CGW2*.BTC,0.001,OLT00**DMO*3TDR
5.U20,RETAIL,20,CGW*.BDS,0.001,OLT00**DMO*3TDR
5.U21,RETAIL,21,CGW2*.BTC,0.001,OLT00**DMO*3TDR
5.U22,RETAIL,22,CGW*.BDS,0.001,OLT00**DMO*3TDR
5.U23,RETAIL,23,CGW2*.BTC,0.001,OLT00**DMO*3TDR
5.U24,RETAIL,24,CGW*.BDS,0.001,OLT00**DMO*3TDR
5.U25,RETAIL,25,CGW2*.BTC,0.001,OLT00**DMO*3TDR
5.U26,RETAIL,26,CGW*.BDS,0.001,OLT00**DMO*3TDR
5.U27,EBIS,27,CGW2*.BTC,0.002,OLT00**DMO*3TDR
5.U28,EBIS,28,CGW*.BDS,0.002,OLT00**DMO*3TDR
5.U29,WHOLESALE,29,CGW*.BDS,0.003,OLT00**DMO*3TDR
5.U30,WHOLESALE,30,CGW*.MDO,0.003,OLT00**DMO*3TDR
5.U31,MOBILE,31,CGW*.BDS,0.004,OLT00**DMO*3TDR
5.U32,MOBILE,32,CGW*.MDO,0.004,OLT00**DMO*3TDR
5.U33,RETAIL,33,CNGoogle,0.001,OLT00**DMO*3TDR
5.U34,RETAIL,34,CNFacebook,0.001,OLT00**DMO*3TDR
5.U35,RETAIL,35,CNNetflix,0.001,OLT00**DMO*3TDR
5.U36,RETAIL,36,CNConversant,0.001,OLT00**DMO*3TDR
5.U37,EBIS,37,CNGoogle,0.001,OLT00**DMO*3TDR
5.U38,EBIS,38,CNFacebook,0.001,OLT00**DMO*3TDR
5.U39,EBIS,39,CNNetflix,0.001,OLT00**DMO*3TDR
5.U40,EBIS,40,CNConversant,0.001,OLT00**DMO*3TDR
5.U41,WHOLESALE,41,CNGoogle,0.001,OLT00**DMO*3TDR
5.U42,WHOLESALE,42,CNFacebook,0.001,OLT00**DMO*3TDR
5.U43,WHOLESALE,43,CNNetflix,0.001,OLT00**DMO*3TDR
5.U44,WHOLESALE,44,CNConversant,0.001,OLT00**DMO*3TDR
5.U45,MOBILE,45,CNGoogle,0.002,OLT00**DMO*3TDR
5.U46,MOBILE,46,CNFacebook,0.002,OLT00**DMO*3TDR
5.U47,MOBILE,47,CNNetflix,0.002,OLT00**DMO*3TDR
5.U48,MOBILE,48,CNConversant,0.002,OLT00**DMO*3TDR
5.U49,RETAIL,49,CNIptv,0.001,OLT00**DMO*3TDR
5.U50,EBIS,50,CNIptv,0.001,OLT00**DMO*3TDR
6.U1,RETAIL,1,CGW2*.BTC,0.001,OLT00**KDE*2BRJ
6.U2,RETAIL,2,CGW*.BDS,0.001,OLT00**KDE*2BRJ
6.U3,RETAIL,3,CGW*.MDO,0.001,OLT00**KDE*2BRJ
6.U4,RETAIL,4,CGW*.PNK,0.001,OLT00**KDE*2BRJ
6.U5,RETAIL,5,TEL#_CGW2*.BDS,0.001,OLT00**KDE*2BRJ
6.U6,RETAIL,6,TEL#_CGW2**BDS,0.001,OLT00**KDE*2BRJ
6.U7,RETAIL,7,TEL#_CGW*.BDS,0.001,OLT00**KDE*2BRJ
6.U8,RETAIL,8,CGW2*.BTC,0.001,OLT00**KDE*2BRJ
6.U9,RETAIL,9,CGW*.BDS,0.001,OLT00**KDE*2BRJ
6.U10,RETAIL,10,CGW2*.BTC,0.001,OLT00**KDE*2BRJ
6.U11,RETAIL,11,CGW*.BDS,0.001,OLT00**KDE*2BRJ
6.U12,RETAIL,12,CGW2*.BTC,0.001,OLT00**KDE*2BRJ
6.U13,RETAIL,13,CGW*.BDS,0.001,OLT00**KDE*2BRJ
6.U14,RETAIL,14,CGW*.MDO,0.001,OLT00**KDE*2BRJ
6.U15,RETAIL,15,CGW*.PNK,0.001,OLT00**KDE*2BRJ
6.U16,RETAIL,16,TEL#_CGW2*.BDS,0.001,OLT00**KDE*2BRJ
6.U17,RETAIL,17,TEL#_CGW2**BDS,0.001,OLT00**KDE*2BRJ
6.U18,RETAIL,18,TEL#_CGW*.BDS,0.001,OLT00**KDE*2BRJ
6.U19,RETAIL,19,CGW2*.BTC,0.001,OLT00**KDE*2BRJ
6.U20,RETAIL,20,CGW*.BDS,0.001,OLT00**KDE*2BRJ
6.U21,RETAIL,21,CGW2*.BTC,0.001,OLT00**KDE*2BRJ
6.U22,RETAIL,22,CGW*.BDS,0.001,OLT00**KDE*2BRJ
6.U23,RETAIL,23,CGW2*.BTC,0.001,OLT00**KDE*2BRJ
6.U24,RETAIL,24,CGW*.BDS,0.001,OLT00**KDE*2BRJ
6.U25,RETAIL,25,CGW2*.BTC,0.001,OLT00**KDE*2BRJ
6.U26,RETAIL,26,CGW*.BDS,0.001,OLT00**KDE*2BRJ
6.U27,EBIS,27,CGW2*.BTC,0.002,OLT00**KDE*2BRJ
6.U28,EBIS,28,CGW*.BDS,0.002,OLT00**KDE*2BRJ
6.U29,WHOLESALE,29,CGW*.BDS,0.003,OLT00**KDE*2BRJ
6.U30,WHOLESALE,30,CGW*.MDO,0.003,OLT00**KDE*2BRJ
6.U31,MOBILE,31,CGW*.BDS,0.004,OLT00**KDE*2BRJ
6.U32,MOBILE,32,CGW*.MDO,0.004,OLT00**KDE*2BRJ
6.U33,RETAIL,33,CNGoogle,0.001,OLT00**KDE*2BRJ
6.U34,RETAIL,34,CNFacebook,0.001,OLT00**KDE*2BRJ
6.U35,RETAIL,35,CNNetflix,0.001,OLT00**KDE*2BRJ
6.U36,RETAIL,36,CNConversant,0.001,OLT00**KDE*2BRJ
6.U37,EBIS,37,CNGoogle,0.001,OLT00**KDE*2BRJ
6.U38,EBIS,38,CNFacebook,0.001,OLT00**KDE*2BRJ
6.U39,EBIS,39,CNNetflix,0.001,OLT00**KDE*2BRJ
6.U40,EBIS,40,CNConversant,0.001,OLT00**KDE*2BRJ
6.U41,WHOLESALE,41,CNGoogle,0.001,OLT00**KDE*2BRJ
6.U42,WHOLESALE,42,CNFacebook,0.001,OLT00**KDE*2BRJ
6.U43,WHOLESALE,43,CNNetflix,0.001,OLT00**KDE*2BRJ
6.U44,WHOLESALE,44,CNConversant,0.001,OLT00**KDE*2BRJ
6.U45,MOBILE,45,CNGoogle,0.002,OLT00**KDE*2BRJ
6.U46,MOBILE,46,CNFacebook,0.002,OLT00**KDE*2BRJ
6.U47,MOBILE,47,CNNetflix,0.002,OLT00**KDE*2BRJ
6.U48,MOBILE,48,CNConversant,0.002,OLT00**KDE*2BRJ
6.U49,RETAIL,49,CNIptv,0.001,OLT00**KDE*2BRJ
6.U50,EBIS,50,CNIptv,0.001,OLT00**KDE*2BRJ
7.U1,RETAIL,1,CGW2*.BTC,0.001,OLT00**KDE*2GND
7.U2,RETAIL,2,CGW*.BDS,0.001,OLT00**KDE*2GND
7.U3,RETAIL,3,CGW*.MDO,0.001,OLT00**KDE*2GND
7.U4,RETAIL,4,CGW*.PNK,0.001,OLT00**KDE*2GND
7.U5,RETAIL,5,TEL#_CGW2*.BDS,0.001,OLT00**KDE*2GND
7.U6,RETAIL,6,TEL#_CGW2**BDS,0.001,OLT00**KDE*2GND
7.U7,RETAIL,7,TEL#_CGW*.BDS,0.001,OLT00**KDE*2GND
7.U8,RETAIL,8,CGW2*.BTC,0.001,OLT00**KDE*2GND
7.U9,RETAIL,9,CGW*.BDS,0.001,OLT00**KDE*2GND
7.U10,RETAIL,10,CGW2*.BTC,0.001,OLT00**KDE*2GND
7.U11,RETAIL,11,CGW*.BDS,0.001,OLT00**KDE*2GND
7.U12,RETAIL,12,CGW2*.BTC,0.001,OLT00**KDE*2GND
7.U13,RETAIL,13,CGW*.BDS,0.001,OLT00**KDE*2GND
7.U14,RETAIL,14,CGW*.MDO,0.001,OLT00**KDE*2GND
7.U15,RETAIL,15,CGW*.PNK,0.001,OLT00**KDE*2GND
7.U16,RETAIL,16,TEL#_CGW2*.BDS,0.001,OLT00**KDE*2GND
7.U17,RETAIL,17,TEL#_CGW2**BDS,0.001,OLT00**KDE*2GND
7.U18,RETAIL,18,TEL#_CGW*.BDS,0.001,OLT00**KDE*2GND
7.U19,RETAIL,19,CGW2*.BTC,0.001,OLT00**KDE*2GND
7.U20,RETAIL,20,CGW*.BDS,0.001,OLT00**KDE*2GND
7.U21,RETAIL,21,CGW2*.BTC,0.001,OLT00**KDE*2GND
7.U22,RETAIL,22,CGW*.BDS,0.001,OLT00**KDE*2GND
